interest_rate,growth_rate,cap_years,final_principal_B,debt_service_M,total_interest_B,local_add_in_pct,viable
0.04,0.01,16.0,1.877561625789107,142.95494815252886,1.9556946377304785,16.30374301858023,True
0.04,0.015,9.0,1.8439894082345512,124.1171878626036,1.6578764686980207,17.643984766995207,True
0.04,0.02,6.0,1.8284062449677998,117.0398725114,1.5305369920891188,18.234468915895086,True
0.04,0.025,5.0,1.8182085511,113.76054618641615,1.498103612300268,18.606085933622634,True
0.04,0.03,4.0,1.8138431363199998,111.07710657537542,1.4706277211667929,18.860598813425305,True
0.04,0.035,3.0,1.80947772154,110.8097749450628,1.3991444196998983,19.045143222957613,True
0.04,0.04,3.0,1.80511230676,108.33016013587446,1.4403746169646774,19.18454822070193,True
0.04,0.05,2.0,1.8,108.0233553969668,1.3686539511150728,19.379756421264783,True
0.045,0.01,18.0,1.9273251935225728,158.49724446227717,2.3394150668153544,16.30374301858023,True
0.045,0.015,10.0,1.8725725329443312,135.84698420028568,1.9359575967264064,17.643984766995207,True
0.045,0.02,7.0,1.8469241147972,127.41380920031217,1.7844993412477839,18.234468915895086,True
0.045,0.025,5.0,1.8334365893770002,121.04599076322845,1.7192849880530519,18.606085933622634,True
0.045,0.03,4.0,1.82284313632,120.34659650638969,1.633252196249327,18.860598813425305,True
0.045,0.035,3.0,1.8184777215399999,117.69089912020294,1.6038395496440758,19.045143222957613,True
0.045,0.04,3.0,1.81411230676,117.40837182585933,1.6001838401465975,19.18454822070193,True
0.045,0.05,2.0,1.8053814772,114.67928493217437,1.567880667374878,19.379756421264783,True
0.05,0.01,19.0,1.9954471249710266,170.70296338004943,2.7370410577410125,16.30374301858023,True
0.05,0.015,11.0,1.9114737624265492,145.21563382373245,2.2833659166307294,17.643984766995207,True
0.05,0.02,7.0,1.873742811490207,135.79182932756746,2.0288486746077594,18.234468915895086,True
0.05,0.025,6.0,1.8520226321325,131.405556723588,1.9790738324756751,18.606085933622634,True
0.05,0.03,4.0,1.8384696254906001,127.89189057363636,1.852158648789008,18.860598813425305,True
0.05,0.035,4.0,1.82747772154,124.80185246891436,1.9003510079960275,19.045143222957613,True
0.05,0.04,3.0,1.82311230676,124.5037301744986,1.810799638627465,19.18454822070193,True
0.05,0.05,2.0,1.8143814772,121.785875894613,1.776342121709166,19.379756421264783,True
0.055,0.01,,,,,,False
0.055,0.015,12.0,1.9603168957248533,159.69677555057729,2.618666390241155,17.643984766995207,True
0.055,0.02,8.0,1.9040322590618484,147.88551374567913,2.317525012692726,18.234468915895086,True
0.055,0.025,6.0,1.8748340121712777,139.76766248934402,2.22479359368294,18.606085933622634,True
0.055,0.03,5.0,1.8571238411722,135.92859763847076,2.176605178723679,18.860598813425305,True
0.055,0.035,4.0,1.8435053533086,134.93181868586885,2.067513796072633,19.045143222957613,True
0.055,0.04,3.0,1.83211230676,131.82466079137757,2.02768588835079,19.18454822070193,True
0.055,0.05,2.0,1.8233814772,129.1216644805182,1.991311109500505,19.379756421264783,True
0.06,0.01,,,,,,False
0.06,0.015,13.0,2.021490742771008,171.83590415527968,3.0369003939244026,17.643984766995207,True
0.06,0.02,9.0,1.944642711451196,158.05761284785098,2.6973651223900252,18.234468915895086,True
0.06,0.025,6.0,1.9040795108665478,148.94989135032182,2.4865913550466,18.606085933622634,True
0.06,0.03,5.0,1.8758680568538,144.2624073145064,2.423435575095811,18.860598813425305,True
0.06,0.035,4.0,1.8622277419163,143.21340780613366,2.3035168533655357,19.045143222957613,True
0.06,0.04,4.0,1.848543772831,139.92952543929334,2.3619248659994345,19.18454822070193,True
0.06,0.05,3.0,1.8323814772,138.7060854586475,2.2405686074474853,19.379756421264783,True
